127.0.0.1 - - [28/Jun/2022:14:47:47 +0900] "GET / HTTP/1.1" 200 403
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:48:16 +0900] "GET /map2.do HTTP/1.1" 200 65438
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:48:17 +0900] "GET /favicon.ico HTTP/1.1" 404 1028
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:48:20 +0900] "GET /map.do HTTP/1.1" 200 10785
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:48:20 +0900] "GET /resources/css/map.css HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:48:20 +0900] "GET /resources/js/function.js HTTP/1.1" 200 52020
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:48:20 +0900] "GET /resources/js/map.js HTTP/1.1" 200 8942
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:49:45 +0900] "GET /map.do HTTP/1.1" 200 10785
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:49:45 +0900] "GET /resources/css/map.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:49:45 +0900] "GET /resources/js/function.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:49:45 +0900] "GET /resources/js/map.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:50:21 +0900] "GET /map.do HTTP/1.1" 200 10785
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:50:21 +0900] "GET /resources/css/map.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:50:21 +0900] "GET /resources/js/function.js HTTP/1.1" 200 52108
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:50:21 +0900] "GET /resources/js/map.js HTTP/1.1" 200 9030
0:0:0:0:0:0:0:1 - - [28/Jun/2022:14:50:23 +0900] "GET /map.do HTTP/1.1" 200 10785
